Name;SI;Handles;VM;WS;PM;NPM;Path;Company;CPU;FileVersion;ProductVersion;Description;Product;__NounName;BasePriority;ExitCode;HasExited;ExitTime;Handle;SafeHandle;HandleCount;Id;MachineName;MainWindowHandle;MainWindowTitle;MainModule;MaxWorkingSet;MinWorkingSet;Modules;NonpagedSystemMemorySize;NonpagedSystemMemorySize64;PagedMemorySize;PagedMemorySize64;PagedSystemMemorySize;PagedSystemMemorySize64;PeakPagedMemorySize;PeakPagedMemorySize64;PeakWorkingSet;PeakWorkingSet64;PeakVirtualMemorySize;PeakVirtualMemorySize64;PriorityBoostEnabled;PriorityClass;PrivateMemorySize;PrivateMemorySize64;PrivilegedProcessorTime;ProcessName;ProcessorAffinity;Responding;SessionId;StartInfo;StartTime;SynchronizingObject;Threads;TotalProcessorTime;UserProcessorTime;VirtualMemorySize;VirtualMemorySize64;EnableRaisingEvents;StandardInput;StandardOutput;StandardError;WorkingSet;WorkingSet64;Site;Container
ApMsgFwd;3;136;95526912;1191936;2891776;11880;;;99,71875;;;;;Process;8;;;;;;136;10528;.;0;;;;;;11880;11880;2891776;2891776;180592;180592;5754880;5754880;10698752;10698752;105107456;105107456;;;2891776;2891776;00:01:11.3593750;ApMsgFwd;;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:30;;System.Diagnostics.ProcessThreadCollection;00:01:39.7187500;00:00:28.3593750;95526912;95526912;False;;;;1191936;1191936;;
ApntEx;3;135;99045376;1847296;3149824;12832;C:\Program Files\DellTPad\Apntex.exe;Alps Electric Co., Ltd.;9,1875;8, 1, 0, 34;8, 1, 0, 34;Alps Pointing-device Driver for Windows;Alps Pointing-device Driver for Windows;Process;8;;False;;3004;Microsoft.Win32.SafeHandles.SafeProcessHandle;135;7036;.;0;;System.Diagnostics.ProcessModule (Apntex.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;12832;12832;3149824;3149824;187080;187080;6008832;6008832;10641408;10641408;111808512;111808512;True;Normal;3149824;3149824;00:00:06.8281250;ApntEx;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:30;;System.Diagnostics.ProcessThreadCollection;00:00:09.1875000;00:00:02.3593750;99045376;99045376;False;;;;1847296;1847296;;
Apoint;3;299;144056320;4337664;5758976;22280;C:\Program Files\DellTPad\Apoint.exe;Alps Electric Co., Ltd.;27,71875;10, 1, 101, 209;10, 1, 101, 209;Alps Pointing-device Driver;Alps Pointing-device Driver;Process;8;;False;;3484;Microsoft.Win32.SafeHandles.SafeProcessHandle;299;6792;.;0;;System.Diagnostics.ProcessModule (Apoint.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;22280;22280;5758976;5758976;283576;283576;8564736;8564736;23310336;23310336;210718720;210718720;True;Normal;5758976;5758976;00:00:22.5468750;Apoint;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 10:30;;System.Diagnostics.ProcessThreadCollection;00:00:27.7187500;00:00:05.1718750;144056320;144056320;False;;;;4337664;4337664;;
ApplicationFrameHost;3;647;2,19921E+12;15163392;24838144;33848;C:\Windows\system32\ApplicationFrameHost.exe;Microsoft Corporation;6,625;10.0.14393.0 (rs1_release.160715-1616);10.0.14393.0;Application Frame Host;Microsoft? Windows? Operating System;Process;8;;False;;3932;Microsoft.Win32.SafeHandles.SafeProcessHandle;647;10500;.;3737694;Ianis @ Bureau ?- OneNote;System.Diagnostics.ProcessModule (ApplicationFrameHost.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;33848;33848;24838144;24838144;396928;396928;30257152;30257152;36052992;36052992;198017024;2,19922E+12;True;Normal;24838144;24838144;00:00:04.3125000;ApplicationFrameHost;15;True;3;System.Diagnostics.ProcessStartInfo;26/04/2017 14:59;;System.Diagnostics.ProcessThreadCollection;00:00:06.6250000;00:00:02.3125000;189726720;2,19921E+12;False;;;;15163392;15163392;;
armsvc;0;139;61280256;917504;1572864;9632;;;;;;;;Process;8;;;;;;139;2532;.;0;;;;;;9632;9632;1572864;1572864;116576;116576;3784704;3784704;8142848;8142848;72196096;72196096;;;1572864;1572864;;armsvc;;True;0;System.Diagnostics.ProcessStartInfo;;;System.Diagnostics.ProcessThreadCollection;;;61280256;61280256;False;;;;917504;917504;;
audiodg;0;159;2,19907E+12;11051008;6721536;10384;;;2,3125;;;;;Process;8;;;;;;159;10184;.;0;;;;;;10384;10384;6721536;6721536;83504;83504;8015872;8015872;12984320;12984320;50667520;2,19907E+12;;;6721536;6721536;00:00:01.7656250;audiodg;;True;0;System.Diagnostics.ProcessStartInfo;02/05/2017 10:53;;System.Diagnostics.ProcessThreadCollection;00:00:02.3125000;00:00:00.5468750;48726016;2,19907E+12;False;;;;11051008;11051008;;
backgroundTaskHost;3;420;2,19916E+12;13221888;6758400;23304;C:\Windows\system32\backgroundTaskHost.exe;Microsoft Corporation;0,234375;10.0.14393.0 (rs1_release.160715-1616);10.0.14393.0;Background Task Host;Microsoft? Windows? Operating System;Process;8;;False;;3080;Microsoft.Win32.SafeHandles.SafeProcessHandle;420;5916;.;0;;System.Diagnostics.ProcessModule (backgroundTaskHost.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;23304;23304;6758400;6758400;266808;266808;6815744;6815744;24805376;24805376;138510336;2,19916E+12;True;Normal;6758400;6758400;00:00:00.1406250;backgroundTaskHost;15;True;3;System.Diagnostics.ProcessStartInfo;02/05/2017 11:10;;System.Diagnostics.ProcessThreadCollection;00:00:00.2343750;00:00:00.0937500;138510336;2,19916E+12;False;;;;13221888;13221888;;
backgroundTaskHost;3;568;2,19973E+12;24666112;17002496;43912;C:\Windows\system32\backgroundTaskHost.exe;Microsoft Corporation;0,484375;10.0.14393.0 (rs1_release.160715-1616);10.0.14393.0;Background Task Host;Microsoft? Windows? Operating System;Process;8;;False;;4008;Microsoft.Win32.SafeHandles.SafeProcessHandle;568;13652;.;0;;System.Diagnostics.ProcessModule (backgroundTaskHost.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;43912;43912;17002496;17002496;436432;436432;21704704;21704704;52879360;52879360;708694016;2,19973E+12;True;Normal;17002496;17002496;00:00:00.2187500;backgroundTaskHost;15;True;3;System.Diagnostics.ProcessStartInfo;02/05/2017 11:10;;System.Diagnostics.ProcessThreadCollection;00:00:00.4843750;00:00:00.2656250;708395008;2,19973E+12;False;;;;24666112;24666112;;
backgroundTaskHost;3;503;2,19962E+12;21876736;22544384;42216;C:\Windows\system32\backgroundTaskHost.exe;Microsoft Corporation;0,703125;10.0.14393.0 (rs1_release.160715-1616);10.0.14393.0;Background Task Host;Microsoft? Windows? Operating System;Process;8;;False;;4068;Microsoft.Win32.SafeHandles.SafeProcessHandle;503;16252;.;0;;System.Diagnostics.ProcessModule (backgroundTaskHost.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;42216;42216;22544384;22544384;358936;358936;22810624;22810624;51867648;51867648;601587712;2,19962E+12;True;Normal;22544384;22544384;00:00:00.2500000;backgroundTaskHost;15;True;3;System.Diagnostics.ProcessStartInfo;02/05/2017 11:10;;System.Diagnostics.ProcessThreadCollection;00:00:00.7031250;00:00:00.4531250;601587712;2,19962E+12;False;;;;21876736;21876736;;
Calculator;3;410;306929664;446464;13352960;23152;C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1703.601.0_x64__8wekyb3d8bbwe\Calculator.exe;Microsoft Corporation;0,1875;10.1703.1703.01001;10.1703.170301001;Calculator.exe;Microsoft Calculator;Process;8;;False;;4116;Microsoft.Win32.SafeHandles.SafeProcessHandle;410;10400;.;134466;Calculatrice;System.Diagnostics.ProcessModule (Calculator.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;23152;23152;13352960;13352960;447096;447096;14905344;14905344;46170112;46170112;310075392;310075392;True;Normal;13352960;13352960;00:00:00.0937500;Calculator;15;False;3;System.Diagnostics.ProcessStartInfo;26/04/2017 17:46;;System.Diagnostics.ProcessThreadCollection;00:00:00.1875000;00:00:00.0937500;306929664;306929664;False;;;;446464;446464;;
CefSharp.BrowserSubprocess;3;416;2860019712;57044992;220889088;56568;C:\Program Files\Microsoft Power BI Desktop\bin\CefSharp.BrowserSubprocess.exe;The CefSharp Authors;3857,453125;47.0.0.101;47.0.0.101;CefSharp.BrowserSubprocess;CefSharp;Process;8;;False;;3456;Microsoft.Win32.SafeHandles.SafeProcessHandle;416;612;.;0;;System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;56568;56568;220889088;220889088;852240;852240;259428352;259428352;276152320;276152320;-1408393216;2886574080;True;Normal;220889088;220889088;00:00:34.1875000;CefSharp.BrowserSubprocess;15;True;3;System.Diagnostics.ProcessStartInfo;30/04/2017 16:25;;System.Diagnostics.ProcessThreadCollection;01:04:17.4687500;01:03:43.2812500;-1434947584;2860019712;False;;;;57044992;57044992;;
CefSharp.BrowserSubprocess;3;334;1497452544;9519104;131567616;45144;C:\Program Files\Microsoft Power BI Desktop\bin\CefSharp.BrowserSubprocess.exe;The CefSharp Authors;5,03125;47.0.0.101;47.0.0.101;CefSharp.BrowserSubprocess;CefSharp;Process;8;;False;;2608;Microsoft.Win32.SafeHandles.SafeProcessHandle;334;4684;.;0;;System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;45144;45144;131567616;131567616;643096;643096;191348736;191348736;192081920;192081920;1561235456;1561235456;True;Normal;131567616;131567616;00:00:00.3281250;CefSharp.BrowserSubprocess;15;True;3;System.Diagnostics.ProcessStartInfo;30/04/2017 16:25;;System.Diagnostics.ProcessThreadCollection;00:00:05.0312500;00:00:04.7031250;1497452544;1497452544;False;;;;9519104;9519104;;
CefSharp.BrowserSubprocess;3;346;895782912;34549760;82116608;40688;C:\Program Files\Microsoft Power BI Desktop\bin\CefSharp.BrowserSubprocess.exe;The CefSharp Authors;1,8125;47.0.0.101;47.0.0.101;CefSharp.BrowserSubprocess;CefSharp;Process;8;;False;;3708;Microsoft.Win32.SafeHandles.SafeProcessHandle;346;15984;.;0;;System.Diagnostics.ProcessModule (CefSharp.BrowserSubprocess.exe);1413120;204800;System.Diagnostics.ProcessModuleCollection;40688;40688;82116608;82116608;639056;639056;99155968;99155968;125050880;125050880;911196160;911196160;True;Normal;82116608;82116608;00:00:00.5156250;CefSharp.BrowserSubprocess;15;True;3;System.Diagnostics.ProcessStartInfo;30/04/2017 16:25;;System.Diagnostics.ProcessThreadCollection;00:00:01.8125000;00:00:01.2968750;895782912;895782912;False;;;;34549760;34549760;;
